id,source,zh_sentence,tsl_gloss,subject,object,time,topic,verb,verb_type,agreement,question_type,negation,nonmanual,notes
TSL0001,manual,我昨天買了一台新電腦,昨天 電腦 我 買,我,電腦,昨天,電腦,買,plain,word_order,none,false,none,時間在前；主題優先
TSL0002,manual,他明天要去台北,明天 台北 他 去,他,台北,明天,台北,去,spatial,spatial_direction,none,false,none,時間在前；地點作主題
TSL0003,manual,紅色的花很漂亮,花 紅 漂亮,none,none,none,花,漂亮,plain,word_order,none,false,none,修飾語放名詞後
TSL0004,manual,我不要去學校,學校 我 去 不要,我,學校,none,學校,去,spatial,word_order,none,true,head_shake,否定詞放動詞後
TSL0005,manual,你去哪裡,你 去 哪裡,你,哪裡,none,none,去,spatial,spatial_direction,wh,false,wh_expression,疑問詞保留在句尾
TSL0006,manual,老師他怕,老師 他 怕,他,老師,none,老師,怕,plain,eye_gaze,none,false,eye_gaze,普通動詞可用眼神呼應受語
TSL0007,manual,我討厭蟑螂,蟑螂 我 討厭,我,蟑螂,none,蟑螂,討厭,plain,word_order,none,false,none,受語先作主題
TSL0008,manual,妹妹今天看書,今天 書 妹妹 看,妹妹,書,今天,書,看,plain,word_order,none,false,none,時間在前；受語作主題
TSL0009,manual,爸爸昨天給我錢,昨天 爸爸 錢 給 我,爸爸,我,昨天,錢,給,agreement,directional_movement,none,false,none,給使用方向移動標示主受語
TSL0010,manual,我問老師問題,老師 問題 我 問,我,老師,none,老師,問,agreement,directional_movement,none,false,eye_gaze,呼應動詞可配合方向與眼神
TSL0011,manual,明天你要不要來,明天 你 來 要 不要,你,none,明天,none,來,spatial,word_order,yesno,true,brow_raise,是非問句加疑問表情
TSL0012,manual,他不喜歡咖啡,咖啡 他 喜歡 不,他,咖啡,none,咖啡,喜歡,plain,word_order,none,true,head_shake,否定詞置於動詞後
TSL0013,manual,今天下午我們開會,今天 下午 會議 我們 開,我們,會議,今天 下午,會議,開,plain,word_order,none,false,none,時間詞組置前
TSL0014,manual,你媽媽在哪裡,你 媽媽 哪裡,你媽媽,哪裡,none,你 媽媽,在,unknown,word_order,wh,false,wh_expression,存在位置問句
TSL0015,manual,小孩在公園玩,公園 小孩 玩,小孩,公園,none,公園,玩,spatial,spatial_location,none,false,none,地點先建立空間
TSL0016,manual,我今天很累,今天 我 累,我,none,今天,none,累,plain,word_order,none,false,none,狀態句保留主語與形容詞
TSL0017,manual,哥哥把書放在桌上,桌子 書 哥哥 放,哥哥,書,none,桌子,放,spatial,spatial_location,none,false,none,空間定位先建立桌子位置
TSL0018,manual,昨天朋友打電話給我,昨天 朋友 電話 給 我,朋友,我,昨天,電話,給,agreement,directional_movement,none,false,none,方向動詞標示給的對象
TSL0019,manual,你為什麼遲到,你 遲到 為什麼,你,none,none,none,遲到,plain,word_order,wh,false,wh_expression,疑問詞放句尾
TSL0020,manual,我沒有看到他,他 我 看 沒有,我,他,none,他,看,plain,word_order,none,true,head_shake,受語先作主題；否定放後
TSL0021,manual,我今天早上喝咖啡,今天 早上 咖啡 我 喝,我,咖啡,今天 早上,咖啡,喝,plain,word_order,none,false,none,時間詞組置前；受語作主題
TSL0022,manual,他晚上回家,晚上 家 他 回,他,家,晚上,家,回,spatial,spatial_direction,none,false,none,時間在前；地點先建立
TSL0023,manual,她明天參加考試,明天 考試 她 參加,她,考試,明天,考試,參加,plain,word_order,none,false,none,事件作主題
TSL0024,manual,我喜歡這本書,書 這 我 喜歡,我,書 這,none,書 這,喜歡,plain,word_order,none,false,none,受語先作主題
TSL0025,manual,你吃飯了嗎,你 飯 吃 完,你,飯,none,none,吃,plain,word_order,yesno,false,brow_raise,是非問句用眉毛上揚
TSL0026,manual,他昨天沒有來,昨天 他 來 沒有,他,none,昨天,none,來,spatial,word_order,none,true,head_shake,否定放動詞後
TSL0027,manual,我們星期六去看電影,星期六 電影 我們 看,我們,電影,星期六,電影,看,plain,word_order,none,false,none,時間在前；活動作主題
TSL0028,manual,老師今天教數學,今天 數學 老師 教,老師,數學,今天,數學,教,agreement,directional_movement,none,false,none,教可用方向標示對象
TSL0029,manual,學生問問題,問題 學生 問,學生,問題,none,問題,問,agreement,directional_movement,none,false,eye_gaze,問句內容作主題
TSL0030,manual,媽媽給弟弟水,媽媽 水 給 弟弟,媽媽,弟弟,none,水,給,agreement,directional_movement,none,false,none,給用方向移動標示受者
TSL0031,manual,弟弟把球放在箱子裡,箱子 球 弟弟 放,弟弟,球,none,箱子,放,spatial,spatial_location,none,false,none,先建立空間位置
TSL0032,manual,今天雨很大,今天 雨 大,none,雨,今天,雨,大,plain,word_order,none,false,none,天氣主題句
TSL0033,manual,明天會下雨嗎,明天 雨 下,none,雨,明天,雨,下,plain,word_order,yesno,false,brow_raise,是非問句
TSL0034,manual,你要喝茶還是咖啡,茶 咖啡 你 要 哪一個,你,茶 咖啡,none,茶 咖啡,要,plain,word_order,wh,false,choice_question,選擇問句
TSL0035,manual,我不會開車,我 開車 會 不,我,none,none,none,開車,plain,word_order,none,true,head_shake,能力否定
TSL0036,manual,他會寫中文,中文 他 寫 會,他,中文,none,中文,寫,plain,word_order,none,false,none,受語作主題
TSL0037,manual,我們昨天去醫院,昨天 醫院 我們 去,我們,醫院,昨天,醫院,去,spatial,spatial_direction,none,false,none,時間地點先行
TSL0038,manual,醫生幫我檢查,醫生 檢查 幫 我,醫生,我,none,檢查,幫,agreement,directional_movement,none,false,none,幫可用方向標示受者
TSL0039,manual,我今天頭痛,今天 我 頭 痛,我,none,今天,none,痛,plain,word_order,none,false,none,身體部位加狀態
TSL0040,manual,你哪裡不舒服,你 身體 不舒服 哪裡,你,none,none,none,不舒服,plain,word_order,wh,false,wh_expression,疑問詞放句尾
TSL0041,manual,爸爸正在煮飯,飯 爸爸 煮,爸爸,飯,none,飯,煮,plain,word_order,none,false,none,受語先行
TSL0042,manual,姐姐昨天洗衣服,昨天 衣服 姐姐 洗,姐姐,衣服,昨天,衣服,洗,plain,word_order,none,false,none,時間在前
TSL0043,manual,弟弟還沒有寫作業,作業 弟弟 寫 還沒,弟弟,作業,none,作業,寫,plain,word_order,none,true,head_shake,完成否定
TSL0044,manual,你作業寫完了嗎,作業 你 寫 完,你,作業,none,作業,寫,plain,word_order,yesno,false,brow_raise,主題加是非問
TSL0045,manual,我想買手機,手機 我 買 想,我,手機,none,手機,買,plain,word_order,none,false,none,願望語氣後置
TSL0046,manual,手機太貴我不買,手機 貴 太 我 買 不,我,手機,none,手機,買,plain,word_order,none,true,head_shake,原因主題加否定
TSL0047,manual,他早上坐公車上班,早上 公車 他 坐 上班,他,公車,早上,公車,坐,spatial,spatial_path,none,false,none,交通工具先標
